epoch,lr,train_loss,train_l1,train_ssim_loss,train_tv,val_loss,val_l1,val_ssim_loss,val_tv,val_psnr,val_ssim,variant,description,epochs,checkpoint,history,test_eval,test_psnr,test_ssim,test_time_ms,test_mean_y_gain,test_dark_y_gain,test_over_exposed_ratio,input_h,input_w,device,params,params_m,model_size_mb,flops,gflops,time_mean_ms,time_std_ms,time_median_ms,peak_memory_mb,psnr_std,ssim_std,psnr_good_rate,over_exposed_std,model,psnr_gap_to_best,ssim_gap_to_best,quality_retention,psnr_per_mparam,ssim_per_mparam,fps_est,quality_norm,lightweight_norm,speed_norm,stability_norm,edge_balanced_score
49.0,1.0187460799314202e-05,0.153394394841749,0.079772823880757,0.1472431393812329,0.0,0.1500525058805942,0.0834067294001579,0.1332915532588958,0.0,21.575388788119525,0.8549311280250549,fixed_gamma_unet,固定 Gamma 先验 + 轻量 U-Net,50,F:\Digital Image Processing\outputs\checkpoints\fixed_gamma_unet_strict50_best.pt,F:\Digital Image Processing\outputs\fixed_gamma_unet_strict50_history.csv,F:\Digital Image Processing\outputs\fixed_gamma_unet_strict50_test_eval.csv,20.618414042413807,0.8109901428222657,27.34811333369483,0.3955915570259094,0.3952837944030761,0.0005061111111111,256,256,cuda,1287315,1.287315,4.910717010498047,5574623232,5.574623232,5.470936326980591,0.8852649462042105,5.269504070281982,49.43115234375,3.5945418806964415,0.09092985835016272,0.5333333333333333,0.0011833960692066501,Fixed Gamma U-Net,0.0,0.0,1.0,16.01660358374897,0.6299857787893917,182.78406843603312,1.0,0.0032609846649488405,0.7518138614676044,0.5101265899449184,0.590269363111363
44.0,1.6671233840616125e-05,0.1565090137005951,0.0828564246249501,0.1470285752951274,0.0027660466558922,0.1493337523937225,0.0832401777803897,0.131940894126892,0.0024625528487376,21.67168711181864,0.8566565883159637,lpia_former_lite,Retinex/Gamma 双先验 + 光照引导窗口注意力 + 轻量 CNN 解码器,50,F:\Digital Image Processing\outputs\checkpoints\lpia_former_lite_strict50_best.pt,F:\Digital Image Processing\outputs\lpia_former_lite_strict50_history.csv,F:\Digital Image Processing\outputs\lpia_former_lite_strict50_test_eval.csv,20.42824543475804,0.8096356431643168,24.010946666627813,0.4118878046671549,0.4115414798259735,0.0008638888888888,256,256,cuda,619733,0.619733,2.364093780517578,4921634816,4.921634816,6.504757089614868,1.0145109755846713,6.301695823669434,55.64453125,3.5888079488547397,0.09686909630401441,0.5333333333333333,0.002260145593065159,LPIA-Former-Lite,0.19016860765576737,0.001354499657948871,0.9945532892697473,32.96297830639653,1.3064265468585936,153.73364235177115,0.94668243924192,0.5388021075667679,0.0,0.2580025494597584,0.5790139903857622
39.0,3.180124193630004e-05,0.1646445528840139,0.0852654691493731,0.1587581648255273,0.0,0.1509758481383323,0.0818014934659004,0.138348708152771,0.0,21.616872668236045,0.8500774431228638,plain_unet,普通轻量级 U-Net，不使用 Gamma 先验和注意力,50,F:\Digital Image Processing\outputs\checkpoints\plain_unet_strict50_best.pt,F:\Digital Image Processing\outputs\plain_unet_strict50_history.csv,F:\Digital Image Processing\outputs\plain_unet_strict50_test_eval.csv,19.812899816771758,0.8002172112464905,22.195066666548275,0.4119084219137827,0.4115988433361053,0.0005675,256,256,cuda,1286739,1.286739,4.908519744873047,5499125760,5.49912576,5.129655065536499,0.6905629767456305,4.874239921569824,46.67919921875,3.1564632848420087,0.09460004318553043,0.4666666666666667,0.0015073918398114383,Plain U-Net,0.8055142256420496,0.010772931575775191,0.9738243060858054,15.39776117516587,0.6218955135785038,194.94488171699555,0.7642968660018808,0.0037230577687644706,1.0,0.6785032205686354,0.558611146816677
49.0,1.0187460799314202e-05,0.1593055545528363,0.0826344552711682,0.1533421950955544,0.0,0.1490898397564888,0.082407334074378,0.133365010023117,0.0,21.52337223459249,0.855248122215271,attention_unet,光照引导注意力 + 普通轻量级 U-Net，不使用 Gamma 先验,50,F:\Digital Image Processing\outputs\checkpoints\attention_unet_strict50_best.pt,F:\Digital Image Processing\outputs\attention_unet_strict50_history.csv,F:\Digital Image Processing\outputs\attention_unet_strict50_test_eval.csv,19.9880128637074,0.8039388537406922,23.373346666752088,0.4055981377760569,0.4052582840124766,0.0007380555555555,256,256,cuda,1288019,1.288019,4.913402557373047,5499781120,5.49978112,5.2967347240448,0.6777247083964335,5.026912212371826,46.68408203125,3.3507421204104078,0.0952392466716541,0.4666666666666667,0.001840652911750155,Attention U-Net,0.630401178706407,0.007051289081573486,0.9803653322369934,15.518414607010765,0.6241669212493699,188.795560302548,0.8182388898406179,0.0026962286491741816,0.8784965365604185,0.4907315978473454,0.533488644692164
35.0,4.916040103221507e-05,0.3455135503672235,0.1379253300859631,0.4148314847924192,0.0034494971350041,0.3548638981580734,0.1458456914871931,0.4177424263954162,0.0029398038517683,16.800011895567078,0.5413505694270134,zero_dce_lite,Zero-DCE 风格像素级曲线估计轻量深度基线,50,E:\Digital Image Processing\outputs\checkpoints\zero_dce_lite_strict50_best.pt,E:\Digital Image Processing\outputs\zero_dce_lite_strict50_history.csv,E:\Digital Image Processing\outputs\zero_dce_lite_strict50_test_eval.csv,18.741689737689345,0.5556674579779307,28.538339999977325,0.3848064064979553,0.3846853335698446,6.166666666666667e-05,256,256,cuda,44824,0.044824,0.170989990234375,5875171328,5.875171328,5.34456512928009,1.546752647257551,5.000192165374756,22.6474609375,4.049746794745839,0.1116375437525547,0.4666666666666667,0.00015162970507230777,Zero-DCE-Lite,1.876724304724462,0.25532268484433496,0.7970749479961949,418.1172973783987,12.396650410002023,187.10596200269327,0.0,1.0,0.8437133681861684,0.5,0.5015570052279252
36.0,4.444472097387448e-05,0.1614718513417354,0.0857302010196694,0.15109453223268,0.0038876511534238,0.156748780682683,0.0860044720396399,0.14115243434906,0.0033618450327776,21.49341285005011,0.8472468662261963,learnable_gamma_unet,可学习 Gamma Map + 轻量 U-Net,50,F:\Digital Image Processing\outputs\checkpoints\learnable_gamma_unet_strict50_best.pt,F:\Digital Image Processing\outputs\learnable_gamma_unet_strict50_history.csv,F:\Digital Image Processing\outputs\learnable_gamma_unet_strict50_test_eval.csv,20.17426278869601,0.8001131296157837,25.798299999830004,0.4197348992029825,0.4194083094596862,0.0008047222222222,256,256,cuda,1290100,1.2901,4.9213409423828125,5939658752,5.939658752,5.6968339252471925,0.8271413373064184,5.368832111358643,50.31884765625,3.6015201671975605,0.09922909765497336,0.6,0.0021099536561775115,Learnable Gamma U-Net,0.4441512537177985,0.010877013206481934,0.9825232493069344,15.637751173316804,0.6201946590309152,175.53609831738405,0.8603679642494864,0.001026829119590289,0.5875368883331897,0.2865026623418158,0.47556116703692247
46.0,1.298459969278006e-05,0.1564474613298468,0.082896004332238,0.1469149518122871,0.0018796107736051,0.1478572584688663,0.0818658672645688,0.1318138527870178,0.0016893030400387,21.529034249087054,0.8573393142223358,lpia_lightunet,可学习 Gamma Map + 光照引导注意力 + 轻量 U-Net,50,F:\Digital Image Processing\outputs\checkpoints\lpia_lightunet_strict50_best.pt,F:\Digital Image Processing\outputs\lpia_lightunet_strict50_history.csv,F:\Digital Image Processing\outputs\lpia_lightunet_strict50_test_eval.csv,20.47126265660649,0.8082368850708008,26.98574666671145,0.3979471186796824,0.3976005534331003,0.0006730555555555,256,256,cuda,1291380,1.29138,4.9262237548828125,5940314112,5.940314112,6.03747841835022,0.8110410091484632,5.685247898101807,49.44873046875,3.878249826703035,0.09619169133080976,0.5333333333333333,0.0017908648999706888,LPIA-LightU-Net,0.1471513858073159,0.0027532577514648438,0.9947340873634061,15.852237650115761,0.6258706849035922,165.6320620477276,0.9554039621245747,0.0,0.3398138196893651,0.20727469107788737,0.46422486146491776
