epoch,lr,train_loss,train_l1,train_ssim_loss,train_tv,val_loss,val_l1,val_ssim_loss,val_tv,val_psnr,val_ssim
1,0.00019981253920068581,0.3054807236941729,0.13967238411238667,0.33159888230161183,0.00017794266274447814,0.2123599310219288,0.1089752534031868,0.20674702644348145,0.00022330048275762238,18.70005253185975,0.7836978608369827
2,0.0001992508966248754,0.23061913426982641,0.11531045617458457,0.23057664099926223,0.00040706346661264445,0.18982465013861657,0.10094083324074746,0.1777062475681305,0.0006138475617626682,19.416657645708433,0.8116940808296204
3,0.00019831728881922545,0.21506037693556554,0.11072697002904207,0.208580343679349,0.0008646650797760431,0.17995252311229706,0.09719933316111565,0.16540424823760985,0.0010213126905728133,19.79853250036226,0.8241418123245239
4,0.00019701540030721995,0.20843531218816608,0.10796057350487204,0.2008216600813624,0.001278121350547685,0.17869310617446899,0.09731992393732071,0.16260855078697203,0.001378144008340314,19.768622456790503,0.8271186047792435
5,0.00019535036904803958,0.20122371074928116,0.10624455070028657,0.18979932937753916,0.0015899113246372768,0.17469162240624428,0.09529758669435978,0.15862491965293884,0.001631523713003844,20.069867908682312,0.8293866682052612
6,0.00019332876615938386,0.19495212029202194,0.1028672524208572,0.18397942940760317,0.0019029823865758658,0.1705073569715023,0.09248123962432146,0.15586820363998413,0.0018403149780351668,20.421968786514025,0.8332172846794128
7,0.00019095856998427185,0.19024367294003885,0.0989439405226213,0.18239158831433766,0.002078812243202315,0.17390094667673112,0.09402978282421827,0.15953290700912476,0.002094204034656286,20.37584892835098,0.8288551604747773
8,0.000188249134604167,0.18897342592615135,0.09964115524552934,0.17841889891206944,0.00245637937624883,0.1734670840203762,0.0950389737635851,0.15663445115089417,0.0022176752844825388,19.933429711309785,0.8314803862571716
9,0.00018521115292269142,0.18441040264571318,0.09614241131783081,0.17629346704702772,0.0024251080877769927,0.1652946525812149,0.09028892304748297,0.14979137659072875,0.002200776448007673,20.66433140509738,0.8383084726333618
10,0.00018185661446562,0.18668539597210795,0.0981685697586031,0.17678054466774937,0.0025310362538983745,0.17078353241086006,0.09433667756617069,0.15266584157943724,0.002278690750245005,20.108097225511553,0.8355757379531861
