epoch,lr,train_loss,train_l1,train_ssim_loss,train_tv,val_loss,val_l1,val_ssim_loss,val_tv,val_psnr,val_ssim
1,0.00019981253920068581,0.30337171884863057,0.13696990160417447,0.33274223260615826,0.0006140168361400129,0.2105491863191128,0.10776856429874897,0.20547906637191773,0.0008218064456013963,18.704720797221132,0.7867373275756836
2,0.0001992508966248754,0.23346470265481878,0.11646219164407748,0.23389180327340756,0.0011322322529032482,0.18957001864910125,0.0999830935895443,0.17904621362686157,0.0012763696303591133,19.550173870613666,0.8108597940206528
3,0.00019831728881922545,0.21456820249969508,0.11021880266441178,0.2085294506516874,0.001693453107561384,0.18363214015960694,0.09797817476093769,0.17114436268806457,0.0016356937622185796,19.69814550954617,0.8175437891483307
4,0.00019701540030721995,0.20110575054785074,0.10285592151264991,0.19627742640983126,0.0022222259626959876,0.17603379502892494,0.09427109614014625,0.16330936789512634,0.0021603272203356027,20.21728388365418,0.8249549239873886
5,0.00019535036904803958,0.19640052572648098,0.101031153175276,0.19048318720083632,0.002555557110342562,0.1725320564210415,0.0936304647475481,0.1575752317905426,0.0022795345727354287,20.292726275442977,0.8302053070068359
6,0.00019332876615938386,0.19351309977368825,0.09942903893265856,0.18790606172403432,0.00262055419007754,0.17657644286751747,0.09492725037038326,0.16304763078689574,0.002507522313389927,20.004982268124504,0.8243657493591309
7,0.00019095856998427185,0.19274082817652258,0.10029768414177379,0.18458283112345752,0.0030345235552106586,0.17120300233364105,0.09186294496059418,0.1583949136734009,0.0028520080936141313,20.497715749330396,0.829240243434906
8,0.000188249134604167,0.1892984580883782,0.09838220164660484,0.18148218733923777,0.003503311614287064,0.1698492592573166,0.09298263400793076,0.15340738296508788,0.0032586550852283834,20.42073641783423,0.8346882319450378
9,0.00018521115292269142,0.18457731343634118,0.09558673055353252,0.17759745461600168,0.003836978965091266,0.16738551899790763,0.09018191263079643,0.15406299591064454,0.0034421982523053884,20.582215788239292,0.8331818127632141
10,0.00018185661446562,0.18470220707253926,0.09600916827603968,0.17699471514345863,0.003913598126530098,0.1658105281740427,0.08842225067317486,0.15443963170051575,0.003369203666225076,20.981458121248778,0.8330523717403412
11,0.00017819875806369996,0.1819904659475599,0.09412813818399807,0.17534436223693706,0.003802897194014167,0.16394812673330306,0.08940308704972268,0.14875512480735778,0.0033495420217514037,20.735273167157448,0.8398173046112061
12,0.00017425201960503408,0.18064947955070004,0.09369945649727149,0.17352134730958718,0.0037870319208241827,0.16873975053429605,0.09084617529064416,0.15545886278152465,0.0032829021499492226,20.42208996222701,0.8320409047603607
13,0.0001700319750632254,0.17844900657092372,0.09384487510963518,0.1688182131486005,0.0039004664267263105,0.1592060825228691,0.0852196515724063,0.14761858344078063,0.0035427792789414526,21.21381951045831,0.8404924738407135
14,0.0001655552790261255,0.18037470941719372,0.0938897023346567,0.17256758207549697,0.004024329822733655,0.16342919915914536,0.09015732105821371,0.14620043516159056,0.00343314073048532,20.73318452158137,0.8420475113391876
15,0.00016083959896778495,0.17709973907690443,0.09389754397631515,0.166007492948787,0.003968906842069142,0.16333429738879204,0.08977946311235428,0.1467631757259369,0.0034649180877022443,20.68682686875338,0.8414260756969452
16,0.00015590354552300466,0.17672624978052306,0.09152060668177318,0.17003494308840844,0.0037634845153527324,0.158061193972826,0.08566089060157538,0.14445826053619384,0.0034234437462873756,21.282329398934152,0.8433722758293152
17,0.00015076659903966294,0.17304584902415077,0.09032326840585278,0.16505527001921483,0.003898901873469902,0.16138173431158065,0.08848112620413304,0.14545073986053467,0.0035047218878753485,20.966505689039987,0.8425873458385468
18,0.0001454490326986819,0.17297035857417067,0.08953454860481798,0.16649209546603366,0.0037951667187950027,0.15791381448507308,0.08541069313883781,0.1446781885623932,0.003280519614927471,21.33692334670383,0.8438088130950928
19,0.0001399718325050444,0.17186537364386192,0.08978348489730589,0.16379182129961006,0.003719518810922649,0.15747078597545625,0.08477442793548107,0.14505890488624573,0.0033380673825740815,21.429338692362872,0.842820748090744
20,0.00013435661446561999,0.1712389825607225,0.08961711940677485,0.16286654763507402,0.0037717511576990928,0.16909338966012,0.09194764602929353,0.15394566535949708,0.0034581812331452967,20.93070696339878,0.8352045059204102
21,0.0001286255392806612,0.17074378212476107,0.08782737379387227,0.16543605854983703,0.0039675576346261164,0.15623050600290297,0.08525327891111374,0.14159830451011657,0.0035615095100365577,21.328008020737634,0.845991690158844
22,0.00012280122488564387,0.1668468870325572,0.08765845762969163,0.15797770655100246,0.00399144783547397,0.15436099156737326,0.08379790291190148,0.14076364398002625,0.003625340573489666,21.38628016229209,0.8472187376022339
23,0.00011690665718860895,0.16872634378171736,0.08804407108077256,0.1609637440624325,0.004008029463104389,0.1566581229865551,0.08580831319093704,0.14135446906089782,0.0034515018435195086,21.156575974898097,0.8461874115467072
24,0.0001109650993552848,0.16929770061909327,0.08809203273415016,0.16202269693673482,0.003886372262981081,0.15537084981799126,0.08489780642092228,0.1406060564517975,0.00340030652936548,21.358356559516682,0.8472501730918884
25,0.00010500000000000002,0.16838501496798433,0.08800383779104404,0.16037803503774828,0.0038431360974289855,0.1542670598626137,0.08428719263523816,0.1396192181110382,0.003405204159207642,21.35204693675874,0.8483598458766938
26,9.903490064471525e-05,0.1685737884058381,0.08840309561569296,0.15996497567348217,0.0037640558409800726,0.1618531537055969,0.0891998103260994,0.14498186945915223,0.0032481700787320733,21.00555522780535,0.8430340719223023
