image,method,under_exposed_ratio,over_exposed_ratio_from_image,well_exposed_ratio,mean_y,mean_y_gain_from_image,color_shift_from_input
dicm_01,Gamma(0.6),0.4804875,0.0019666666666666665,0.4607375,0.16827870905399323,0.0765305906534195,0.06923624873161316
dicm_01,Retinex,0.017095833333333334,0.0009583333333333333,0.9748375,0.5335366725921631,0.44178855419158936,0.41814032196998596
dicm_01,Zero-DCE-Lite,0.0235875,0.019625,0.5099125,0.34116488695144653,0.2494167685508728,0.22304897010326385
dicm_01,LPIA-LightU-Net,0.0,7.916666666666666e-05,0.6018416666666667,0.24186336994171143,0.1501152515411377,0.15496574342250824
dicm_01,LPIA-Former-Lite,0.0,0.0012625,0.9856458333333333,0.3021416664123535,0.21039354801177979,0.21482081711292267
dicm_02,Gamma(0.6),0.07524166666666667,0.009708333333333333,0.7911125,0.37683412432670593,0.12241843342781067,0.11900421977043152
dicm_02,Retinex,0.020629166666666667,0.010658333333333334,0.9343958333333333,0.5232257843017578,0.26881009340286255,0.2482144683599472
dicm_02,Zero-DCE-Lite,0.010904166666666666,0.072925,0.7748416666666667,0.618684709072113,0.3642690181732178,0.3472558557987213
dicm_02,LPIA-LightU-Net,0.0352875,4.1666666666666665e-05,0.8452708333333333,0.40152671933174133,0.14711102843284607,0.15239185094833374
dicm_02,LPIA-Former-Lite,0.0010083333333333333,0.00645,0.8695,0.40965044498443604,0.15523475408554077,0.16232122480869293
dicm_03,Gamma(0.6),0.113575,0.023508333333333332,0.7454,0.31067994236946106,0.11756870150566101,0.10798100382089615
dicm_03,Retinex,0.010708333333333334,0.020425,0.9532833333333334,0.5982076525688171,0.4050964117050171,0.34999141097068787
dicm_03,Zero-DCE-Lite,0.01255,0.05965416666666667,0.8449333333333333,0.5817316174507141,0.38862037658691406,0.3454025685787201
dicm_03,LPIA-LightU-Net,0.009929166666666666,0.0004125,0.8232541666666666,0.3808671236038208,0.18775588274002075,0.19839046895503998
dicm_03,LPIA-Former-Lite,0.0,0.0071875,0.8934166666666666,0.37234947085380554,0.1792382299900055,0.1889757663011551
dicm_04,Gamma(0.6),0.016670833333333333,0.14317916666666666,0.69985,0.5283527374267578,0.11461913585662842,0.11120022088289261
dicm_04,Retinex,0.015904166666666667,0.044929166666666666,0.7936375,0.6355050802230835,0.2217714786529541,0.21023936569690704
dicm_04,Zero-DCE-Lite,0.0028333333333333335,0.347125,0.6277791666666667,0.7792518734931946,0.3655182719230652,0.35218343138694763
dicm_04,LPIA-LightU-Net,0.0,0.0,0.9854875,0.45601916313171387,0.04228556156158447,0.04211427643895149
dicm_04,LPIA-Former-Lite,2.9166666666666666e-05,0.0,0.96225,0.4736609160900116,0.0599273145198822,0.06023763492703438
dicm_05,Gamma(0.6),0.017354166666666667,0.11916666666666667,0.77965,0.5640631914138794,0.10975402593612671,0.11298254877328873
dicm_05,Retinex,0.0160375,0.033025,0.8574125,0.6091676950454712,0.1548585295677185,0.15605150163173676
dicm_05,Zero-DCE-Lite,0.00225,0.2656833333333333,0.5866958333333333,0.7657409906387329,0.3114318251609802,0.31723740696907043
dicm_05,LPIA-LightU-Net,0.031045833333333335,0.0,0.8652,0.44589290022850037,-0.00841626524925232,0.05733010172843933
dicm_05,LPIA-Former-Lite,0.0184375,0.0,0.9018625,0.4244169592857361,-0.0298922061920166,0.05620977282524109
lime_01,Gamma(0.6),0.0025875,0.000975,0.8782,0.26317936182022095,0.12149132788181305,0.1147138699889183
lime_01,Retinex,0.0241375,0.0009833333333333332,0.935025,0.2854915261268616,0.14380349218845367,0.14081858098506927
lime_01,Zero-DCE-Lite,3.3333333333333335e-05,0.010833333333333334,0.9809333333333333,0.532712996006012,0.39102494716644287,0.3655323088169098
lime_01,LPIA-LightU-Net,0.0009125,0.0,0.8583875,0.26375243067741394,0.12206439673900604,0.12887252867221832
lime_01,LPIA-Former-Lite,0.0,0.0,0.9950291666666666,0.3121141195297241,0.17042608559131622,0.1760851889848709
lime_02,Gamma(0.6),0.05993333333333333,0.0011291666666666668,0.7416958333333333,0.18250305950641632,0.11110231280326843,0.11237528175115585
