method,mean_y_gain,dark_y_gain,over_exposed_ratio,under_exposed_ratio,over_exposed_ratio_from_image,well_exposed_ratio,color_shift_from_input,dark_gain_over_overexposure,usable_exposure_score
Retinex,0.2751260094344615,0.32435799315571784,0.008445448890155204,0.02061059236947791,0.008317793064148486,0.9342787936204276,0.26985854655504227,17.584716700976347,0.8078607161022957
LPIA-Former-Lite,0.16687358468770977,0.17283469624817369,0.0050284277651144954,0.004055235536741561,0.0050622950586128295,0.9367397687371106,0.1739333825185895,11.50051748256561,0.6109284589639268
LPIA-LightU-Net,0.14555333182215688,0.1548066737130284,0.00256062499999998,0.010950923016389884,0.0025654166666666664,0.8924280644198415,0.15698143728077413,12.324758816780903,0.5239445870910804
Zero-DCE-Lite,0.3602213889360428,0.3910272844135761,0.10067380135406487,0.014406430044502335,0.1006275213014219,0.7777146776294367,0.34749896377325057,3.5331512935262013,0.45
Gamma(0.6),0.11706475913524624,0.11692253127694126,0.019243950735373903,0.0820192647617497,0.019399992402040593,0.780757726310648,0.11348066721111535,3.998178369775123,0.2707755841515589
