epoch,lr,train_loss,train_l1,train_ssim_loss,train_tv,val_loss,val_l1,val_ssim_loss,val_tv,val_psnr,val_ssim
1,0.00019981253920068581,0.2872614269981736,0.127420676674711,0.31968149721347794,0.0,0.20855195909738541,0.10644523575901985,0.204213445186615,0.0,18.675361580452506,0.7859165686368942
2,0.0001992508966248754,0.2304925261760637,0.11422514714609643,0.23253475466082174,0.0,0.18927736788988114,0.09961836293339729,0.17931800961494446,0.0,19.404143631299558,0.809633172750473
3,0.00019831728881922545,0.21339368827057326,0.10923909100656685,0.2083091906138829,0.0,0.18093180298805236,0.09716105833649635,0.16754149198532103,0.0,19.748157340400695,0.8211231881380081
4,0.00019701540030721995,0.200745337604103,0.102528505233301,0.1964336617201704,0.0,0.17897201821208,0.09604985482990741,0.16584432721138,0.0,19.907464498399403,0.8220579165220261
5,0.00019535036904803958,0.20005065374385378,0.10310719836898113,0.1938869087926803,0.0,0.17782018333673477,0.09421863827854395,0.16720309495925903,0.0,20.267017057359364,0.8227440762519836
6,0.00019332876615938386,0.18717157243308932,0.09565667675868157,0.18302978843038534,0.0,0.1740466521680355,0.09400176264345646,0.16008977770805358,0.0,20.06981198645334,0.8273988401889801
7,0.00019095856998427185,0.19479644971509133,0.10181074939702513,0.1859713971340162,0.0,0.171753009557724,0.09419759906828404,0.15511082172393797,0.0,19.991081357022903,0.8330025482177734
8,0.000188249134604167,0.18487733441151782,0.09502075878637177,0.1797131489498824,0.0,0.16499140448868274,0.0886880037933588,0.15260680079460143,0.0,20.802428917378037,0.8361050951480865
9,0.00018521115292269142,0.18664303236568028,0.09663000658223156,0.18002604751542967,0.0,0.16798869490623475,0.09374074958264828,0.14849588990211487,0.0,20.16025055194369,0.8395141661167145
10,0.00018185661446562,0.1792803876410981,0.09214739523793695,0.17426598126987158,0.0,0.16049822106957434,0.08661256283521652,0.1477713143825531,0.0,21.057315288264416,0.8407432627677918
11,0.00017819875806369996,0.17910381451180454,0.09341109112282778,0.17138544507839712,0.0,0.16402121007442474,0.09107182696461677,0.14589876770973206,0.0,20.432149994788784,0.8420224666595459
12,0.00017425201960503408,0.1753920974201321,0.09113091656139918,0.16852235903937696,0.0,0.15964225843548774,0.08653005681931973,0.14622440218925475,0.0,21.116001082407923,0.8417462182044982
13,0.0001700319750632254,0.18245541805633203,0.09535586112071567,0.1741991109013008,0.0,0.15985362321138383,0.0861908906325698,0.14732546210289002,0.0,21.195899688776063,0.8415167903900147
14,0.0001655552790261255,0.1759268535034997,0.09207952685207815,0.16769465103676792,0.0,0.15668054684996605,0.08598253078758716,0.1413960325717926,0.0,20.989756374744605,0.8463085305690765
15,0.00016083959896778495,0.1774237753677478,0.09258248913638328,0.1696825686687698,0.0,0.15999617278575898,0.08879295140504836,0.14240644097328187,0.0,20.653285107924457,0.845165821313858
16,0.00015590354552300466,0.17809272842473148,0.0948402197507944,0.16650501539080922,0.0,0.15586729153990744,0.08547433327883482,0.14078591585159303,0.0,21.197381022163036,0.8472556614875794
17,0.00015076659903966294,0.17341450351174525,0.09038188270709481,0.16606523941189463,0.0,0.15723633401095868,0.08662844713777304,0.14121577501296997,0.0,21.0643097391696,0.8466885375976563
18,0.0001454490326986819,0.17223506551321752,0.09134125697516626,0.1617876140203344,0.0,0.15822192698717116,0.08807396780699492,0.14029591679573059,0.0,20.797132634447312,0.8475572657585144
19,0.0001399718325050444,0.171956335619298,0.08942215591840755,0.16506835612283874,0.0,0.15731097146868706,0.08620691929012538,0.14220810413360596,0.0,21.213169688942298,0.8464703845977783
20,0.00013435661446561999,0.1664216658658421,0.08764637962052349,0.15755056977821386,0.0,0.1541362652182579,0.08450486108660699,0.1392628073692322,0.0,21.388584984848286,0.8490451550483704
21,0.0001286255392806612,0.16849413084956358,0.08813898797546114,0.16071028286410916,0.0,0.15572619408369065,0.08463393114507198,0.1421845281124115,0.0,21.306433410994913,0.8459054219722748
