epoch,lr,train_loss,train_l1,train_ssim_loss,train_tv,val_loss,val_l1,val_ssim_loss,val_tv,val_psnr,val_ssim
1,0.00019981253920068581,0.2992677886365196,0.1319257540602563,0.3346840665087722,0.0,0.20872998505830764,0.10560514986515045,0.20624966979026793,0.0,18.87590131459694,0.7840743654966355
2,0.0001992508966248754,0.23593167740903143,0.11513533031198836,0.24159268986794255,0.0,0.1965423634648323,0.10226400665938855,0.18855671286582948,0.0,19.22957884127882,0.8018039560317993
3,0.00019831728881922545,0.21830060178508406,0.10793084364538919,0.22073951267427014,0.0,0.1829087580740452,0.0971000149846077,0.1716174852848053,0.0,19.831620858737633,0.8170618546009064
4,0.00019701540030721995,0.20918807782198426,0.10527348379316967,0.20782918479585427,0.0,0.18043227061629297,0.0966280745714903,0.16760838985443116,0.0,19.880059536556775,0.8211046332120895
5,0.00019535036904803958,0.20519686085150537,0.1039223785293267,0.2025489623096132,0.0,0.1752814395725727,0.09396151170134544,0.16263985395431518,0.0,20.215242177263548,0.8258826994895935
6,0.00019332876615938386,0.202615316425051,0.10329489274302386,0.19864084341558993,0.0,0.17993224903941155,0.0970769651979208,0.16571056842803955,0.0,19.751367417341534,0.823320209980011
7,0.00019095856998427185,0.19555246218832956,0.09866209779672909,0.19378072572743288,0.0,0.1751982018351555,0.09479322791099548,0.16080994606018068,0.0,20.05851974257532,0.827794851064682
8,0.000188249134604167,0.19266518006264338,0.09793118603767888,0.18946798605852963,0.0,0.17145122706890106,0.09293926678597927,0.1570239222049713,0.0,20.33112865183916,0.8323837721347809
9,0.00018521115292269142,0.1934706698158919,0.09934356743426916,0.1882542014671361,0.0,0.17018455222249032,0.09289962746202945,0.15456984996795653,0.0,20.336668662187435,0.8345588529109955
10,0.00018185661446562,0.1905696773000302,0.09821515818757395,0.18470903613050962,0.0,0.1666127598285675,0.09049717802554369,0.15223116397857667,0.0,20.535972405526458,0.8367915999889374
11,0.00017819875806369996,0.18597898323277723,0.09569865426537903,0.18056065420950612,0.0,0.1661565297842026,0.09009169489145279,0.152129670381546,0.0,20.6443241072882,0.8372347438335419
12,0.00017425201960503408,0.18610718671215296,0.09635226076580412,0.17950984876826062,0.0,0.1626650185883045,0.08830966163426637,0.14871071457862853,0.0,20.762374306860924,0.8401646840572358
13,0.0001700319750632254,0.18738215327400215,0.09696628132723444,0.1808317408034329,0.0,0.1673903325200081,0.0905264326557517,0.15372780203819275,0.0,20.67769867141326,0.8354531764984131
14,0.0001655552790261255,0.1830096166186069,0.09418186325631384,0.17765550294779411,0.0,0.166053404211998,0.09031486012041569,0.15147708892822265,0.0,20.712665752710368,0.8377079772949219
15,0.00016083959896778495,0.18185973309907497,0.09373405028117417,0.1762513628203748,0.0,0.16797709971666336,0.09193123824894428,0.15209172368049623,0.0,20.205882346074358,0.8368682634830474
16,0.00015590354552300466,0.17997197185381217,0.09235728968123687,0.17522936180439963,0.0,0.16242850124835967,0.0887597544491291,0.14733749389648437,0.0,20.75382645697402,0.8415707421302795
